Pkg_Name,Activity_Nums,Fragment_Nums,Dialog_Nums,Screen_Nums,Transition_Nums
com.getmimo_2022-10-17_stg,47,0,0,47,0
com.ydsdil.reading_2021-08-03_stg,23,0,0,23,0
com.jksol.voicerecodeing_2022-10-18_stg,47,0,0,47,0
de.zorillasoft.musicfolderplayer_2022-10-18_stg,25,0,0,25,0
com.appmaker.chris.concordian_2022-10-17_stg,37,2,0,37,3
com.kursx.smartbook_2022-04-10_stg,45,0,0,45,0
au.net.abc.triplej_2022-07-28_stg,14,0,0,14,0
com.praveenj.vocab_2022-10-15_stg,12,1,0,12,0
io.kodular.drpeterramsis2007.agpeya2_2022-10-16_stg,6,0,0,6,0
com.pratilipi.android.pratilipifm_2022-10-10_stg,24,0,0,24,0
ru.gavrikov.mocklocations_2022-10-19_stg,27,0,0,27,0
com.apps4you2go.learning_motorbike_2022-10-18_stg,13,0,0,13,0
de.twokit.screen.mirroring.app_2022-10-16_stg,6,0,0,6,0
com.inconceptlabs.liveboard_2022-10-17_stg,6,0,0,6,0
com.bravolol.bravolang.englishchinesecdictionary_2022-10-16_stg,78,0,0,78,0
com.okythoos.android.pianoinstructorlite_2019-09-19_stg,7,0,0,7,0
it.rbsoft.soulmate_2011-01-09_stg,10,0,0,10,0
net.teuida.teuida_2022-10-16_stg,54,0,0,54,0
com.familyappspro.sonidosdecanarios_2022-09-18_stg,6,0,0,6,0
com.skiddle.androidapps.skiddle_2022-10-17_stg,62,0,0,62,0
